country_code|row_id|country_code|year|agricultural_land_area|forest_area|total_land_area|fertility_rate|life_expectancy|total_population|urban_population|population_growth|avg_value_of_food_production|cereal_import_dependency_ratio|food_imports_as_share_of_merch_exports|gross_domestic_product_per_capita_ppp|imports_of_goods_and_services|net_oda_received_percent_gni|net_oda_received_per_capita|trade_in_services|per_capita_food_production_variability|per_capita_food_supply_variability|avg_supply_of_protein_of_animal_origin|caloric_energy_from_cereals_roots_tubers|access_to_improved_sanitation|access_to_improved_water_sources|obesity_prevalence|access_to_electricity|co2_emissions
04952a0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0593aa0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
066b021|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|12.5|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
07f62b0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
07f8d11|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0845041|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|6.7|13.3|13.3|0.0|0.0|0.0|0.0|0.0|0.0|6.7|13.3|13.3|0.0|0.0|0.0|0.0|0.0
085807f|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0b6e276|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|100.0|18.8|100.0|93.8|100.0|100.0|100.0|6.2|12.5|18.8|18.8|0.0|0.0|100.0|0.0|6.2
0c0177b|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|100.0|31.2|31.2|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
0ea781c|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|100.0|18.8|0.0|0.0|0.0|0.0|25.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
100c476|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|25.0|0.0|6.2|0.0|6.2
10aeba6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.7|15.4|15.4|0.0|0.0|100.0|100.0|0.0|0.0|7.7|15.4|15.4|0.0|0.0|0.0|0.0|0.0
11c9833|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
12c8f8f|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|62.5|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
1881055|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
22b9653|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2ca26c6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2ddc563|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2e5e810|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
2f1d47e|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
30e2302|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|31.2|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
3e049d7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
4080343|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
42c298b|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
4585568|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
45a15a2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
4609682|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
508731a|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
583201c|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
5c2e474|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|43.8|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
5c83a63|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|100.0|100.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
5dbddf9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|12.5|12.5|6.2|0.0|50.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
5f1162c|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|100.0|100.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
611025c|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
6303e84|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|37.5|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|18.8
66b86bf|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|100.0|100.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
679c02d|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
6966b4a|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|18.8|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
6b615ad|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
6e49e65|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
71dc81f|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
7328d3f|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|0.0|0.0|0.0|0.0|0.0|12.5|12.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
75c02b8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
75e8f46|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|6.2|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
79c89fd|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|100.0|18.8|12.5|68.8|100.0|100.0|50.0|6.2|12.5|18.8|18.8|100.0|100.0|100.0|0.0|6.2
7e222a7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|25.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
7fb4d17|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
81e884c|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
889f053|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|31.2|6.2|12.5|18.8|18.8|18.8|18.8|6.2|0.0|6.2
893d538|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
8e8dfae|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|31.2|31.2|12.5|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
8fb5447|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|6.2|37.5|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
93d74a6|0.0|0.0|0.0|100.0|100.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|100.0|18.8|0.0|0.0|100.0|100.0|12.5|6.2|12.5|18.8|18.8|100.0|100.0|100.0|0.0|6.2
94e6bd5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
9621c07|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
99a7c06|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
9e614ab|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
9e79f12|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
a0b37e7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|93.8|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
a7d355b|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
abd1492|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
b3dfc85|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|100.0|18.8|0.0|18.8|0.0|0.0|100.0|6.2|12.5|18.8|18.8|56.2|56.2|6.2|0.0|6.2
b79b5f9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
ba2039a|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
ba8e2c5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|12.5|6.2|6.2|0.0|6.2|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
be2a7f5|0.0|0.0|0.0|0.0|0.0|0.0|87.5|93.8|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|50.0|50.0|6.2|0.0|6.2
be60011|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|100.0|100.0|100.0|100.0|100.0|6.2|12.5|18.8|18.8|0.0|0.0|100.0|0.0|6.2
c3668f5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
c3782c8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
c408d26|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
c8e4701|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|31.2|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
c9d2604|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|25.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
cff4c58|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
d090b87|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
d3a0eeb|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|100.0|0.0|6.2
d680446|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
dd64913|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|15.4|23.1|23.1|0.0|0.0|100.0|100.0|100.0|7.7|15.4|23.1|23.1|0.0|0.0|7.7|0.0|7.7
e15a18a|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
e256731|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
e509cda|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|100.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
e8739c8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|20.0|30.0|40.0|0.0|0.0|0.0|0.0|10.0|60.0|70.0|30.0|30.0|0.0|0.0|10.0|0.0|10.0
e8bfe1e|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
ea0b937|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
ea3bfc2|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
ed9ad13|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|50.0|50.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|25.0|6.2
ee5721a|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|6.2|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
efa9150|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
f196e55|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.0|20.0|20.0|0.0|0.0|100.0|100.0|10.0|0.0|10.0|20.0|20.0|100.0|100.0|0.0|0.0|0.0
f405b98|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
f787860|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|50.0|0.0|6.2|0.0|6.2
fe2403f|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
fedb6c4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.5|18.8|18.8|0.0|0.0|0.0|0.0|0.0|6.2|12.5|18.8|18.8|0.0|0.0|6.2|0.0|6.2
